date,raw_signal,executed_position,asset_return,executed_shares,liquidity_cap_shares,capital_utilization,turnover,transaction_cost,gross_strategy_return,net_strategy_return,transaction_cost_value,gross_pnl,net_pnl,equity_curve,drawdown
2025-10-02,0,0.0,0.026162790697674465,0,29500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-10-03,0,0.0,-0.03800856531049257,0,30900,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-10-06,0,0.0,-0.006073992269464368,0,31000,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-10-07,0,0.0,-0.005027932960893877,0,30900,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-10-08,0,0.0,0.01412429378531077,0,31500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-10-09,0,0.0,0.07563025210084029,0,32100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-10-10,0,0.0,0.05930892212480665,0,33200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-10-13,0,0.0,-0.018527095877721167,0,35700,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-10-14,0,0.0,-0.021485287248949048,0,38300,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-10-15,0,0.0,0.014761904761904754,0,38200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-10-16,0,0.0,-0.047174217655301276,0,38600,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-10-17,0,0.0,-0.025499999999999967,0,38600,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-10-20,0,0.0,0.006930693069306937,0,38900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-10-21,0,0.0,-0.004901960784313708,0,40100,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-10-22,0,0.0,0.05963528831936915,0,41300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-10-23,0,0.0,0.01671309192200554,0,42300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-10-24,0,0.0,-0.03992821893225662,0,42600,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-10-27,0,0.0,0.030913348946135732,0,43300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-10-28,0,0.0,-0.03196347031963476,0,43600,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-10-29,0,0.0,-0.030403800475059417,0,43700,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-10-30,0,0.0,-0.054455445544554504,0,44400,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-10-31,0,0.0,0.02250130821559404,0,45700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-11-03,0,0.0,0.015151515151515138,0,46300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-11-04,0,0.0,0.027363184079602032,0,46300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-11-05,0,0.0,0.008737864077669855,0,45800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-11-06,0,0.0,-0.02585365853658539,0,46000,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-11-07,0,0.0,0.001006036217303663,0,45700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-11-10,0,0.0,0.01005025125628145,0,43500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-11-11,0,0.0,0.05811623246492981,0,41600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-11-12,0,0.0,0.005714285714285561,0,41700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-11-13,0,0.0,0.000948766603415585,0,40600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-11-14,0,0.0,0.02358490566037741,0,38800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-11-17,0,0.0,0.01382488479262678,0,37900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-11-18,0,0.0,0.002272727272727204,0,37600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-11-19,0,0.0,0.03214124038026256,0,36600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-11-20,0,0.0,0.015473032714411916,0,35700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-11-21,0,0.0,0.044483209768861665,0,35400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-11-24,0,0.0,0.0,0,35000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-11-25,0,0.0,-0.0080971659919028,0,34100,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-11-26,0,0.0,0.007311129163281915,0,34800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-11-27,0,0.0,0.04915390813859788,0,34100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-11-28,0,0.0,0.014280345734686062,0,32300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-12-01,0,0.0,0.0185185185185186,0,32800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-12-02,0,0.0,-0.03406238795267125,0,33600,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-12-03,0,0.0,-0.003731343283582045,0,34200,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-12-04,0,0.0,0.0,0,33800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-12-05,0,0.0,0.004605263157894557,0,35500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-12-08,0,0.0,-0.02020820575627691,0,36400,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-12-09,0,0.0,-0.06999999999999995,0,40700,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-12-10,0,0.0,0.020979020979021046,0,42100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-12-11,0,0.0,-0.02571041948579167,0,44600,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-12-12,0,0.0,-0.006258692628650975,0,45800,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-12-15,0,0.0,0.0,0,46500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-12-16,0,0.0,-0.005567153792623403,0,47700,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-12-17,0,0.0,-0.002097902097902171,0,47900,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-12-18,0,0.0,0.040644709180098104,0,49200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-12-19,0,0.0,0.032509752925877766,0,54200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-12-22,0,0.0,0.029696969696969777,0,54800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-12-23,0,0.0,-0.024137931034482696,0,56400,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-12-24,0,0.0,-0.05727923627684961,0,58700,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-12-25,0,0.0,0.054421768707483054,0,60700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-12-26,0,0.0,0.030322580645161246,0,66400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-12-29,0,0.0,0.020663744520976968,0,67500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-12-30,0,0.0,0.04049079754601226,0,69500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-12-31,0,0.0,0.02063679245283012,0,72500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2026-01-05,0,0.0,-0.002880184331797264,0,73900,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2026-01-06,0,0.0,0.034084344309647685,0,74200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2026-01-07,0,0.0,-0.03760217983651226,0,75800,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
