date,open,high,low,close,volume,return_1d,return_5d,return_20d,sma_5,sma_20,sma_60,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,bb_mid_20,bb_std_20,bb_upper_20,bb_lower_20,bb_width_20,bb_position_20,atr_14,atr_pct_14,adx_14,plus_di_14,minus_di_14,stoch_k_14,stoch_d_3,obv,obv_sma_20,volatility_20d,volume_sma_20,volume_z_20,volume_ratio_20,range_pct,close_vs_sma20,close_vs_sma60,target_next_up,next_return
2026-04-03,20.52,21.21,20.39,20.82,26842507,0.023095823095823143,0.08550573514077175,0.03427719821162456,20.046,18.809,19.825000000000003,19.426003855949748,19.331345271146244,0.0946585848035042,-0.25473592081214635,0.34939450561565055,62.74708538444354,18.809,1.0659954576779276,20.940990915355854,16.677009084644148,0.22669901806112533,0.9716248989420155,0.7960707941259372,0.038235869074252506,15.450266519140463,35.1698834294506,19.51981950313318,91.77215189873417,93.02406852519994,1173455053.0,1086368017.75,0.5515162732260679,12449240.15,2.6520674413997396,2.1561562534400944,0.03938520653218061,0.10691690148333244,0.0501891551071878,0,-0.006243996157540788
2026-04-06,20.69,21.04,20.26,20.69,16217398,-0.006243996157540788,0.07592303692147695,0.10346666666666682,20.338,18.906,19.8625,19.62046480118825,19.43198636217245,0.18847843901579964,-0.16609304884655715,0.3545714878623568,61.37393525742644,18.906,1.1456342761707854,21.19726855234157,16.61473144765843,0.2423853329463208,0.8893039945441658,0.7949228802597986,0.03842063220202023,16.18440823050052,32.704908546244155,19.319848693052244,89.02953586497891,91.50716484233278,1157237655.0,1091201692.4,0.4858327467139489,12638027.45,0.651719996558581,1.2832222484213707,0.0376993716771386,0.09436157833492032,0.041661422278162386,1,0.010633156114064679
2026-04-07,20.65,20.95,20.43,20.91,8660870,0.010633156114064679,0.06847215125191619,0.10226673695308386,20.606,19.003,19.903666666666666,19.818854831774672,19.54146885386338,0.27738597791129393,-0.07739724349498694,0.3547832214062809,62.855376517710624,19.003,1.230336282656732,21.463672565313463,16.542327434686538,0.25897727362137163,0.8874956844892261,0.775285531669813,0.03707726119893893,16.866111248192002,31.13806162806807,18.39426147297076,93.67088607594935,91.49085794655423,1165898525.0,1095504341.65,0.4856576497601811,12107002.05,-0.6469171981269252,0.7153604141002025,0.024868483978957415,0.1003525759090671,0.05056019828842251,1,0.04734576757532283
2026-04-08,21.56,22.33,21.17,21.9,30214005,0.04734576757532283,0.08094768015794651,0.12135176651305679,20.934,19.1215,19.95416666666667,20.139031011501647,19.716174864688313,0.4228561468133343,0.022653434566677306,0.400202712246657,68.67723067103965,19.1215,1.3878202333157388,21.897140466631477,16.345859533368525,0.29031618509337404,1.0005151123502662,0.8213365651219691,0.037503952745295395,18.648025700916694,39.29410147046606,16.122715625733374,92.66211604095564,91.78751266062805,1196112530.0,1100838353.75,0.5013049429328856,13138364.9,2.5690298282045907,2.299677717125972,0.05296803652968021,0.14530763799911073,0.09751513885988694,0,-0.00776255707762552
2026-04-09,21.6,21.99,21.3,21.73,11738982,-0.00776255707762552,0.06781326781326769,0.1479133650290545,21.21,19.261499999999998,19.99833333333333,20.383795471270624,19.865347096933622,0.5184483743370016,0.12181242252074218,0.39663595181625944,66.7427349642367,19.261499999999998,1.5038626582030077,22.269225316406015,16.25377468359398,0.3123043705221314,0.9103599465242485,0.8119553818989711,0.03736564113663005,20.302660549875338,36.908948417279916,15.144066338402723,89.76109215017068,92.03136475569197,1184373548.0,1106023673.35,0.48523283368484854,13287057.4,-0.23539003525371363,0.8834899742361314,0.03175333640128843,0.12815720478675097,0.08659054921243459,1,0.0036815462494246276
2026-04-10,21.9,22.2,21.56,21.81,12517856,0.0036815462494246276,0.047550432276656895,0.16818425281199767,21.407999999999998,19.4185,20.042500000000004,20.603211552613605,20.009395460123724,0.593816092489881,0.21621315651456996,0.377602935975311,67.21080570063324,19.4185,1.5997114048940102,22.617922809788023,16.21907719021198,0.32952316706110374,0.8737392870807291,0.7996728546204732,0.036665422036702124,21.992112613335458,36.67476988754824,14.278337094913011,90.57971014492755,91.0009727786847,1196891404.0,1112251503.4,0.47908700349841205,13496332.55,-0.15108086037983962,0.9275005601429108,0.029344337459880816,0.12315575353400088,0.08818760134713699,1,0.023842274186153034
2026-04-13,21.56,22.63,21.43,22.33,19520040,0.023842274186153034,0.07926534557757359,0.19093333333333318,21.735999999999997,19.5975,20.073333333333334,20.868871313749974,20.181292092707153,0.6875792210428209,0.3104863694202202,0.3770928516226007,70.1514730639314,19.5975,1.716967568587006,23.03143513717401,16.16356486282599,0.3504462443856625,0.8978671539860148,0.8282676507190108,0.037092147367622515,23.86146498749917,36.58769280183106,12.800726006014587,94.29657794676804,91.5457934139555,1216411444.0,1119211104.6,0.4819683033010604,14228103.7,0.8432040664450621,1.3719354603804301,0.053739364084191645,0.13943104987881094,0.11242112255064751,1,0.001791312136139922
2026-04-14,22.55,22.68,22.16,22.37,11609056,0.001791312136139922,0.06982305117168819,0.18736730360934195,22.028,19.773999999999997,20.08583333333333,21.09981418855767,20.343418604358476,0.7563955841991934,0.39966821237601485,0.35672737182317854,70.37159572245756,19.773999999999997,1.8137120992450886,23.401424198490176,16.14657580150982,0.3668882571548679,0.8578296689260276,0.80624853281051,0.03604150794861466,25.63178098623116,35.34511244476672,12.211012638464187,93.15673289183226,92.67767366117603,1228020500.0,1126390445.1,0.48245191773052665,14447843.0,-0.4660075740084272,0.8035148222471686,0.02324541797049618,0.13128350359057372,0.11372028378210208,1,0.03486812695574426
2026-04-15,22.5,23.37,22.5,23.15,33508085,0.03486812695574426,0.057077625570776336,0.2520281233098973,22.278,20.007,20.097166666666666,21.415227390318027,20.551313522554143,0.863913867763884,0.4925173434535887,0.3713965243102953,74.34476555110747,20.007,1.9353283415158211,23.877656683031645,16.136343316968357,0.386930242718213,0.9060034585059454,0.820087923324045,0.03542496429045551,27.721683137756344,38.276408554963986,11.1474496183841,95.44513457556931,94.29948180472327,1261528585.0,1135663353.75,0.4791268171531937,15705083.35,2.4543063950302213,2.1335821181744956,0.037580993520518406,0.1570950167441394,0.151903668012904,0,0.0
2026-04-16,22.93,23.54,22.85,23.15,28557453,0.0,0.06534744592728936,0.30643340857787815,22.562,20.2785,20.114833333333333,21.682115484115254,20.74380881717976,0.9383066669354925,0.5816752081499695,0.35663145878552294,74.34476555110747,20.2785,1.9780140891416427,24.234528178283288,16.322471821716714,0.39016970469051326,0.8629271418948893,0.8107959288008988,0.03502358223761982,29.76301337961453,37.44735355140515,10.469831493539044,92.19999999999999,93.60062248913395,1261528585.0,1145578155.4,0.4386865087423654,16491063.0,1.5548097448596034,1.7316926749961479,0.029805615550755844,0.14160317577730086,0.15089196198493648,1,0.005615550755939669
